nconst,primaryName,birthYear,deathYear
nm0000041,Akira Kurosawa,1910,1998
nm0000088,Aleksey Korenev,1927,1995
nm0000095,Woody Allen,1935,\N
nm0000101,Dan Aykroyd,1952,\N
nm0000108,Luc Besson,1959,\N
nm0000110,Kenneth Branagh,1960,\N
nm0000116,James Cameron,1954,\N
nm0000118,John Carpenter,1948,\N
nm0000123,George Clooney,1961,\N
nm0000126,Kevin Costner,1955,\N
nm0000142,Clint Eastwood,1930,\N
nm0000154,Mel Gibson,1956,\N
nm0000175,Stephen King,1947,\N
nm0000184,George Lucas,1944,\N
nm0000217,Martin Scorsese,1942,\N
nm0000229,Steven Spielberg,1946,\N
nm0000230,Sylvester Stallone,1946,\N
nm0000241,Jean-Claude Van Damme,1960,\N
nm0000255,Ben Affleck,1972,\N
nm0000264,Pedro Almodóvar,1949,\N
nm0000316,Mel Brooks,1926,\N
nm0000318,Tim Burton,1958,\N
nm0000338,Francis Ford Coppola,1939,\N
nm0000341,Michael Crichton,1942,2008
nm0000386,Roland Emmerich,1955,\N
nm0000500,Richard Linklater,1960,\N
nm0000520,Michael Mann,1943,\N
nm0000567,George Orwell,1903,1950
nm0000600,Sam Raimi,1959,\N
nm0000601,Harold Ramis,1944,2014
nm0000631,Ridley Scott,1937,\N
nm0000672,Meg Tilly,1960,\N
nm0000694,Wim Wenders,1945,\N
nm0000709,Robert Zemeckis,1951,\N
nm0000720,Jim Abrahams,1944,2024
nm0000759,Paul Thomas Anderson,1970,\N
nm0000813,Tex Avery,1908,1980
nm0000816,Jon Avnet,1949,\N
nm0000850,Clive Barker,1952,\N
nm0000876,Noah Baumbach,1969,\N
nm0000881,Michael Bay,1965,\N
nm0000921,Andrew Bergman,1945,\N
nm0000965,Danny Boyle,1956,\N
nm0001053,Ethan Coen,1957,\N
nm0001068,Sofia Coppola,1971,\N
nm0001094,Roald Dahl,1916,1990
nm0001317,Renny Harlin,1959,\N
nm0001403,Neil Jordan,1950,\N
nm0001429,Takeshi Kitano,1947,\N
nm0001469,Barry Levinson,1942,\N
nm0001528,Don McKellar,1963,\N
nm0001631,Sarah Polley,1979,\N
nm0001636,Priscilla Presley,1945,\N
nm0001640,Richard Pryor,1940,2005
nm0001675,Robert Rodriguez,1968,\N
nm0001752,Steven Soderbergh,1963,\N
nm0001878,David Zucker,1947,\N
nm0002005,Agatha Christie,1890,1976
nm0002191,Jacques Audiard,1952,\N
nm0002645,Paolo Genovese,1966,\N
nm0003021,Chris McKay,1973,\N
nm0003160,Christopher McQuarrie,1968,\N
nm0003506,James Mangold,1963,\N
nm0004056,Andrew Stanton,1965,\N
nm0004170,Bob Kane,1915,1998
nm0004217,André Øvredal,1973,\N
nm0004306,George Miller,1945,\N
nm0004307,Shane Salerno,1972,\N
nm0004715,Will Arnett,1970,\N
nm0004716,Darren Aronofsky,1969,\N
nm0004742,Maria Bello,1967,\N
nm0005062,Chuck Jones,1912,2002
nm0005222,Sam Mendes,1965,\N
nm0005351,Ryan Reynolds,1976,\N
nm0005363,Guy Ritchie,1968,\N
nm0005366,Jay Roach,1957,\N
nm0005540,Keenen Ivory Wayans,1958,\N
nm0005541,Marlon Wayans,1972,\N
nm0005560,Robbie Williams,1974,\N
nm0006846,Ric Roman Waugh,\N,\N
nm0006969,Elizabeth Banks,1974,\N
nm0007139,Hark Tsui,1950,\N
nm0007517,Sjur Aarthun,\N,\N
nm0008743,Jonathan Aibel,\N,\N
nm0009248,Tom Abrams,1958,\N
nm0010338,Jason 'Wee Man' Acuña,1973,\N
nm0012078,Scott Adkins,1976,\N
nm0012258,Warren Adler,1927,2019
nm0014960,Alexandre Aja,1978,\N
nm0017690,Matthew Aldrich,\N,\N
nm0022709,Steve Alten,1959,\N
nm0023315,Rick Alvarez,\N,\N
nm0024887,Santiago Amigorena,1962,\N
nm0025007,Martin Amis,1949,2023
nm0026153,Hans Christian Andersen,1805,1875
nm0027572,Wes Anderson,1969,\N
nm0030417,Hideaki Anno,1960,\N
nm0030735,Nimród Antal,1973,\N
nm0037136,Guel Arraes,1953,\N
nm0043742,David Ayer,1968,\N
nm0045209,Michael Bacall,1973,\N
nm0047193,Chris Bailey,1962,\N
nm0048918,Sean Baker,\N,\N
nm0049633,Kyle Balda,1971,\N
nm0052581,John Banville,1945,\N
nm0058302,Peter Barsocchini,\N,\N
nm0061829,Hans Bauer,\N,\N
nm0063357,Anees Bazmee,1962,\N
nm0064556,Phil Beauman,\N,\N
nm0067457,Timur Bekmambetov,1961,\N
nm0068587,William Brent Bell,\N,\N
nm0070159,Jafar Panahi,1960,\N
nm0074163,Edward Berger,1970,\N
nm0074184,Glenn Berger,\N,\N
nm0075528,Greg Berlanti,1972,\N
