tconst,primaryTitle,startYear,runtimeMinutes,averageRating,numVotes
tt2963262,Limonov: The Ballad of Eddie,2024,138,5.8,1519
tt34888646,I Can Only Imagine 2,2026,110,7.1,1566
tt9044418,MR-9: Do or Die,2023,106,3.4,1567
tt27502365,Kubi,2023,131,6.4,1594
tt11448138,Ivanna,2022,103,5.8,1637
tt30829309,Pegasus 2,2024,121,6.9,1675
tt7171442,Escape from the 21st Century,2024,98,6.4,1687
tt21114104,A Moroccan Affair,2023,97,5.0,1716
tt32369229,Blood Brothers: Fury of the Dragon,2025,129,6.9,1725
tt28078628,Soul on Fire,2025,112,6.6,1746
tt27712015,Only 3 Days Left,2023,90,5.3,1746
tt16194408,Water Gate Bridge,2022,153,5.6,1756
tt16150082,Hobal,2024,114,7.7,1789
tt14044924,Hi-Five,2025,119,6.5,1805
tt13361648,The New Toy,2022,112,5.9,1826
tt14099796,The Goldfinger,2023,126,6.2,1848
tt32843325,Creation of the Gods II: Demon Force,2025,145,6.2,1895
tt11347146,Mat Kilau,2022,117,5.5,1971
tt29544253,Night of the Zoopocalypse,2024,91,6.0,2085
tt21191906,After Death,2023,108,6.3,2102
tt29344974,How Could I Live Without You?,2024,105,6.4,2189
tt16550628,Chebi: My Fluffy Friend,2023,113,5.7,2202
tt17494686,Decibel,2022,110,6.1,2254
tt33381728,Ejen Ali: The Movie 2,2025,115,7.7,2292
tt34459219,The Breadwinner,2026,99,5.8,2306
tt33412884,Patriot,2026,180,6.2,2310
tt7093904,Dragonkeeper,2024,98,5.8,2322
tt25377462,A Guilty Conscience,2023,135,7.2,2408
tt28630624,Panda Plan,2024,99,5.1,2491
tt24516518,Vaalvi,2023,106,8.3,2516
tt14941698,Tad the Lost Explorer and the Emerald Tablet,2022,90,6.0,2539
tt19894774,The Braid,2023,121,7.2,2566
tt6881490,Sound of Hope: The Story of Possum Trot,2024,130,7.1,2603
tt15801594,Lighting up the Stars,2022,112,7.5,2702
tt17351056,The Last Kumite,2024,105,4.7,2743
tt13645322,F3: Fun and Frustration,2022,148,4.7,2750
tt37956153,Laalo: Krishna Sada Sahaayate,2025,135,8.1,2796
tt32214143,Gabby's Dollhouse: The Movie,2025,98,5.4,2838
tt25434854,Deep Sea,2023,112,6.8,2849
tt21478426,Life After Fighting,2024,126,6.4,2877
tt27587485,Waves,2024,131,7.7,2891
tt5181260,The Unbreakable Boy,2025,109,6.2,2909
tt8277246,His Only Son,2023,106,5.9,2969
tt31898445,Escape,2024,94,6.4,2986
tt30476518,Big World,2024,131,7.6,3003
tt16374352,The Blind,2023,108,6.3,3032
tt11013610,KKN di Desa Penari,2022,130,5.9,3098
tt32649961,Blades of the Guardians,2026,126,6.9,3102
tt31727267,Sarah's Oil,2025,103,6.9,3171
tt11952606,Easter Sunday,2022,96,5.3,3241
tt39018643,Billie Eilish: Hit Me Hard and Soft,2026,114,7.6,3278
tt21352380,A Difficult Year,2023,120,6.0,3325
tt29031019,Love Reset,2023,119,6.7,3443
tt36598036,Dead to Rights,2025,137,7.7,3553
tt23173980,Darkness of Man,2024,109,4.7,3599
tt17507018,Lost in the Stars,2022,121,6.6,3627
tt12532368,Chickenhare and the Hamster of Darkness,2022,91,6.3,3644
tt23049206,Just the Two of Us,2023,105,6.5,3648
tt21825416,Truth & Treason,2025,121,7.1,3651
tt6133444,The Fire Inside,2024,109,6.7,3662
tt28696532,A Dog's Will 2,2024,104,6.1,3725
tt27004148,Grave Torture,2024,117,6.1,3775
tt13484872,Stealing Raden Saleh,2022,154,7.3,3786
tt32606470,Humint,2026,119,6.4,3787
tt30908405,The Last Rodeo,2025,116,6.3,3789
tt10545696,Maigret,2022,89,5.9,3827
tt2467700,Animal Farm,2025,95,2.9,3858
tt29354040,Renaissance: A Film by Beyoncé,2023,169,8.5,3862
tt28856462,Agak Laen,2024,119,7.6,3872
tt13848804,Journey to Bethlehem,2023,99,6.5,3945
tt13531468,Rise,2022,117,7.0,3994
tt16731908,A Brighter Tomorrow,2023,95,6.7,4126
tt36352591,"You, Me & Tuscany",2026,105,6.0,4145
tt14534796,Mascarade,2022,134,6.4,4294
tt25808194,Project Silence,2023,101,5.4,4402
tt28763074,Dancing Village: The Curse Begins,2024,122,5.6,4435
tt28151876,Yolo,2024,129,6.9,4437
tt33057137,Prisoner of War,2025,112,5.7,4526
