tconst,budget,boxoffice,profit
tt10365998,4500000,5078400,578400
tt23049206,6300000,5099005,-1200995
tt20215968,8800000,5101673,-3698327
tt35524793,4000000,5168044,1168044
tt19841734,4000000,5175806,1175806
tt29344903,4250000,5325096,1075096
tt2467700,35000000,5354047,-29645953
tt14537248,3000000,5400000,2400000
tt15574270,10000000,5407916,-4592084
tt11092020,40000000,5416976,-34583024
tt24176060,53400000,5450715,-47949285
tt23875550,11760000,5520000,-6240000
tt28259207,4800000,5600000,800000
tt18559464,3000000,5705895,2705895
tt35019998,24000000,5900000,-18100000
tt0327785,30000000,5928351,-24071649
tt10545696,7000000,5934907,-1065093
tt19760052,6500000,5970753,-529247
tt26745657,3152172,6024851,2872679
tt21825416,15000000,6045655,-8954345
tt31195136,10000000,6068324,-3931676
tt27502365,9600000,6129032,-3470968
tt14099796,45000000,6136329,-38863671
tt14121726,5000000,6175213,1175213
tt22866358,40000000,6205230,-33794770
tt7093904,25600000,6206231,-19393769
tt32332404,6000000,6223404,223404
tt6722802,20000000,6262663,-13737337
tt25808194,14750000,6283415,-8466585
tt14188930,600000,6300000,5700000
tt11448138,705,6338496,6337791
tt31193791,2000000,6380079,4380079
tt15380630,6300000,6400000,100000
tt16150082,4000000,6440453,2440453
tt17351056,1303000,6500000,5197000
tt32178949,3000000,6501810,3501810
tt10343028,15000000,6524886,-8475114
tt16731908,13266839,6551542,-6715297
tt13655120,13800000,6605079,-7194921
tt32321317,1000000,6644994,5644994
tt14534796,14000000,6667598,-7332402
tt28363783,10500000,6675000,-3825000
tt27056012,11760000,6680000,-5080000
tt12349832,7000000,6680396,-319604
tt27852049,5882000,6705000,823000
tt32284154,1058000,6741000,5683000
tt17494686,8500000,6843970,-1656030
tt2316548,25000000,6850036,-18149964
tt27757805,21176000,6941000,-14235000
tt9051908,10000000,6999027,-3000973
tt6528290,60000000,7000000,-53000000
tt31969779,18000000,7000000,-11000000
tt21352380,13000000,7004555,-5995445
tt19864802,18000000,7021101,-10978899
tt9044418,6700000,7100000,400000
tt29606499,6441957,7261843,819886
tt13361648,13125000,7295051,-5829949
tt30645201,20000000,7445237,-12554763
tt28078628,3000000,7448606,4448606
tt5181260,6000000,7511126,1511126
tt38693888,752800,7528000,6775200
tt23790740,4200000,7550000,3350000
tt23330554,415000,7582541,7167541
tt13669038,20000000,7589419,-12410581
tt29344974,9700000,7633135,-2066865
tt33412884,15000000,7700000,-7300000
tt19623240,100000,7717044,7617044
tt26927452,15000000,7763862,-7236138
tt13848804,6000000,7778330,1778330
tt15140278,12000000,7837847,-4162153
tt19356262,8000000,7935363,-64637
tt6133444,12000000,8104331,-3895669
tt39143902,3500000,8213695,4713695
tt27587485,3500000,8405432,4905432
tt24517830,9600000,8500000,-1100000
tt28763074,1200000,8702153,7502153
tt11068094,20000000,8799528,-11200472
tt11075264,2450634,8824658,6374024
tt35521922,70000,8844724,8774724
tt29544253,12000000,8860435,-3139565
tt15980138,830000,8920490,8090490
tt28288786,380000,9000000,8620000
tt15744298,40000000,9112817,-30887183
tt16606592,15200000,9138503,-6061497
tt25433734,7819000,9184966,1365966
tt28682323,8500000,9191988,691988
tt30827810,20000000,9204473,-10795527
tt32299316,2000000,9207791,7207791
tt19894774,8500000,9235757,735757
tt37333137,7300000,9300000,2000000
tt5761544,30000000,9400000,-20600000
tt32159989,70000000,9426825,-60573175
tt11365186,30000000,9464198,-20535802
tt11851548,10000000,9572765,-427235
tt27744786,7800000,9600000,1800000
tt36491653,6000000,9602793,3602793
tt1341338,20000000,9755038,-10244962
tt31844586,12200000,9811703,-2388297
tt18925334,1000000,9847490,8847490
tt21188080,13400000,9927714,-3472286
tt27431598,3300000,10000000,6700000
tt25377462,2800000,10000000,7200000
tt10276482,9000000,10000000,1000000
tt27657135,25000000,10055029,-14944971
tt10651230,7475000,10064347,2589347
tt9100018,13000000,10091821,-2908179
tt28083456,15000000,10134166,-4865834
tt21815562,45000000,10225566,-34774434
tt15006566,3900000,10238603,6338603
tt17491040,19597380,10247262,-9350118
tt28358950,1805100,10247900,8442800
tt23853982,32000000,10361110,-21638890
tt20330434,13700000,10436638,-3263362
tt32298285,7000000,10445082,3445082
tt27004148,314445,10500000,10185555
tt15334488,14000000,10644463,-3355537
tt31064841,16000000,10722792,-5277208
tt26238710,4800000,10758888,5958888
tt33296751,7000000,10866039,3866039
